text,language
compañía,Spanish
entreprise,French
شركة,Arabic
εταιρεία,Greek
Unternehmen,German
azienda,Italian
empresa,Portuguese
компания,Russian
公司,Chinese
会社,Japanese
perusahaan,Indonesian
कंपनी,Hindi
কোম্পানি,Bengali
viajar,Spanish
voyage,French
يسافر,Arabic
ταξίδι,Greek
reisen,German
viaggio,Italian
viagem,Portuguese
путешествовать,Russian
旅行,Chinese
旅行,Japanese
bepergian,Indonesian
यात्रा,Hindi
ভ্রমণ,Bengali
producto,Spanish
produit,French
منتج,Arabic
προϊόν,Greek
Produkt,German
prodotto,Italian
produto,Portuguese
продукт,Russian
产品,Chinese
製品,Japanese
produk,Indonesian
उत्पाद,Hindi
পণ্য,Bengali
para,Spanish
pour,French
ل,Arabic
για,Greek
für,German
per,Italian
para,Portuguese
для,Russian
为了,Chinese
のために,Japanese
untuk,Indonesian
के लिए,Hindi
জন্য,Bengali
alguno,Spanish
quelques,French
بعض,Arabic
μερικοί,Greek
manche,German
Alcuni,Italian
alguns,Portuguese
некоторый,Russian
一些,Chinese
いくつかの,Japanese
beberapa,Indonesian
कुछ,Hindi
কিছু,Bengali
en,Spanish
dans,French
في,Arabic
σε,Greek
In,German
In,Italian
em,Portuguese
в,Russian
在,Chinese
で,Japanese
di dalam,Indonesian
में,Hindi
মধ্যে,Bengali
elementos,Spanish
articles,French
أغراض,Arabic
είδη,Greek
Artikel,German
elementi,Italian
Unid,Portuguese
предметы,Russian
项目,Chinese
アイテム,Japanese
item,Indonesian
सामान,Hindi
আইটেম,Bengali
información,Spanish
information,French
معلومة,Arabic
πληροφορίες,Greek
Information,German
informazioni,Italian
Informação,Portuguese
информация,Russian
信息,Chinese
情報,Japanese
informasi,Indonesian
जानकारी,Hindi
তথ্য,Bengali
almacenar,Spanish
magasin,French
محل,Arabic
κατάστημα,Greek
speichern,German
negozio,Italian
loja,Portuguese
магазин,Russian
店铺,Chinese
店,Japanese
toko,Indonesian
इकट्ठा करना,Hindi
দোকান,Bengali
debería,Spanish
devrait,French
يجب,Arabic
πρέπει,Greek
sollen,German
Dovrebbe,Italian
deve,Portuguese
должен,Russian
应该,Chinese
すべき,Japanese
sebaiknya,Indonesian
चाहिए,Hindi
উচিত,Bengali
a,Spanish
un,French
أ,Arabic
ένα,Greek
A,German
UN,Italian
um,Portuguese
а,Russian
一个,Chinese
ある,Japanese
A,Indonesian
ए,Hindi
ক,Bengali
servicios,Spanish
services,French
خدمات,Arabic
υπηρεσίες,Greek
Dienstleistungen,German
servizi,Italian
serviços,Portuguese
услуги,Russian
服务,Chinese
サービス,Japanese
layanan,Indonesian
सेवा,Hindi
সেবা,Bengali
libro,Spanish
livre,French
كتاب,Arabic
βιβλίο,Greek
Buch,German
libro,Italian
livro,Portuguese
книга,Russian
书,Chinese
本,Japanese
buku,Indonesian
किताब,Hindi
বই,Bengali
No,Spanish
Non,French
لا,Arabic
Όχι,Greek
NEIN,German
NO,Italian
não,Portuguese
нет,Russian
不,Chinese
いいえ,Japanese
TIDAK,Indonesian
नहीं,Hindi
না,Bengali
debe,Spanish
doit,French
يجب,Arabic
πρέπει,Greek
muss,German
dovere,Italian
deve,Portuguese
должен,Russian
必须,Chinese
しなければならない,Japanese
harus,Indonesian
अवश्य,Hindi
আবশ্যক,Bengali
a ellos,Spanish
eux,French
هم,Arabic
τους,Greek
ihnen,German
loro,Italian
eles,Portuguese
их,Russian
他们,Chinese
彼ら,Japanese
mereka,Indonesian
उन्हें,Hindi
তাদের,Bengali
s,Spanish
s,French
ق,Arabic
μικρό,Greek
S,German
S,Italian
é,Portuguese
с,Russian
s,Chinese
s,Japanese
S,Indonesian
एस,Hindi
s,Bengali
privacidad,Spanish
confidentialité,French
خصوصية,Arabic
μυστικότητα,Greek
Privatsphäre,German
privacy,Italian
privacidade,Portuguese
конфиденциальность,Russian
隐私,Chinese
プライバシー,Japanese
pribadi,Indonesian
गोपनीयता,Hindi
গোপনীয়তা,Bengali
hacer,Spanish
faire,French
يفعل,Arabic
κάνω,Greek
Tun,German
Fare,Italian
fazer,Portuguese
делать,Russian
做,Chinese
する,Japanese
Mengerjakan,Indonesian
करना,Hindi
করতে,Bengali
ebay,Spanish
ebay,French
موقع ئي باي,Arabic
ebay,Greek
eBay,German
ebay,Italian
ebay,Portuguese
ebay,Russian
易趣,Chinese
イーベイ,Japanese
ebay,Indonesian
EBAY,Hindi
ইবে,Bengali
hacer,Spanish
faire,French
يصنع,Arabic
μάρκα,Greek
machen,German
Fare,Italian
fazer,Portuguese
делать,Russian
制作,Chinese
作る,Japanese
membuat,Indonesian
बनाना,Hindi
করা,Bengali
eso,Spanish
que,French
الذي - التي,Arabic
ότι,Greek
Das,German
Quello,Italian
que,Portuguese
что,Russian
那,Chinese
それ,Japanese
itu,Indonesian
वह,Hindi
যে,Bengali
a mí,Spanish
moi,French
أنا,Arabic
μου,Greek
Mich,German
Me,Italian
meu,Portuguese
мне,Russian
我,Chinese
自分,Japanese
Saya,Indonesian
मुझे,Hindi
আমি,Bengali
muy,Spanish
très,French
جداً,Arabic
πολύ,Greek
sehr,German
molto,Italian
