text,language
I'm going to make a cup of tea.,English
Voy a preparar una taza de té.,Spanish
Je vais préparer une tasse de thé.,French
سأقوم بإعداد كوب من الشاي.,Arabic
Πάω να φτιάξω ένα φλιτζάνι τσάι.,Greek
Ich werde eine Tasse Tee kochen.,German
Vado a preparare una tazza di tè.,Italian
Vou fazer uma xícara de chá.,Portuguese
Я собираюсь заварить чашку чая.,Russian
我去泡杯茶。,Chinese
お茶を作ります。,Japanese
Aku akan membuatkan secangkir teh.,Indonesian
मैं एक कप चाय बनाने जा रहा हूँ।,Hindi
আমি এক কাপ চা বানাতে যাচ্ছি।,Bengali
Did you see the game last night? It was incredible!,English
¿Viste el partido anoche? ¡Fue increíble!,Spanish
Avez-vous vu le match hier soir ? C'était incroyable !,French
هل شاهدت المباراة الليلة الماضية؟ كان لا يصدق!,Arabic
Είδατε το παιχνίδι χθες το βράδυ; Ήταν απίστευτο!,Greek
Hast du das Spiel gestern Abend gesehen? Es war unglaublich!,German
Hai visto la partita ieri sera? È stato incredibile!,Italian
Você viu o jogo ontem à noite? Foi incrível!,Portuguese
Ты видел игру вчера вечером? Это было невероятно!,Russian
昨晚的比赛你看了吗？太不可思议了！,Chinese
昨夜の試合を見ましたか？信じられないほどでした！,Japanese
Apakah Anda melihat pertandingan tadi malam? Sungguh luar biasa!,Indonesian
क्या आपने कल रात खेल देखा? यह अविश्वसनीय था!,Hindi
কাল রাতে খেলা দেখেছ? এটা অবিশ্বাস্য ছিল!,Bengali
The birds are singing so beautifully this morning.,English
Los pájaros cantan muy bien esta mañana.,Spanish
Les oiseaux chantent si bien ce matin.,French
الطيور تغني بشكل جميل جدا هذا الصباح.,Arabic
Τα πουλιά τραγουδούν τόσο όμορφα σήμερα το πρωί.,Greek
Die Vögel singen heute Morgen so schön.,German
Gli uccelli cantano così bene stamattina.,Italian
Os pássaros estão cantando tão lindamente esta manhã.,Portuguese
Этим утром птицы так красиво поют.,Russian
今天早上，鸟儿的歌声非常美妙。,Chinese
今朝は鳥たちがとても美しく鳴いています。,Japanese
Burung-burung berkicau begitu indah pagi ini.,Indonesian
आज सुबह पक्षी बहुत सुंदर गा रहे हैं।,Hindi
আজ সকালে পাখিরা খুব সুন্দর করে গান গায়।,Bengali
Where did I put my keys?,English
¿Dónde puse mis llaves?,Spanish
Où ai-je mis mes clés ?,French
أين وضعت مفاتيحي؟,Arabic
Πού έβαλα τα κλειδιά μου;,Greek
Wo habe ich meine Schlüssel hingelegt?,German
Dove ho messo le chiavi?,Italian
Onde coloquei minhas chaves?,Portuguese
Куда я положил ключи?,Russian
我把钥匙放在哪里了？,Chinese
鍵をどこに置きましたか?,Japanese
Di mana saya meletakkan kunci saya?,Indonesian
मैंने अपनी चाबियाँ कहाँ रखीं?,Hindi
আমি আমার চাবি কোথায় রাখলাম?,Bengali
I need to finish this report by Friday.,English
Necesito terminar este informe para el viernes.,Spanish
Je dois terminer ce rapport d'ici vendredi.,French
أحتاج إلى الانتهاء من هذا التقرير بحلول يوم الجمعة.,Arabic
Πρέπει να ολοκληρώσω αυτήν την αναφορά μέχρι την Παρασκευή.,Greek
Ich muss diesen Bericht bis Freitag fertigstellen.,German
Devo finire questo rapporto entro venerdì.,Italian
Preciso terminar este relatório até sexta-feira.,Portuguese
Мне нужно закончить этот отчет к пятнице.,Russian
我需要在周五之前完成这份报告。,Chinese
このレポートを金曜日までに仕上げなければなりません。,Japanese
Saya harus menyelesaikan laporan ini paling lambat hari Jumat.,Indonesian
मुझे यह रिपोर्ट शुक्रवार तक ख़त्म करनी है.,Hindi
আমাকে শুক্রবারের মধ্যে এই প্রতিবেদনটি শেষ করতে হবে।,Bengali
My phone battery is almost dead.,English
La batería de mi teléfono está casi agotada.,Spanish
La batterie de mon téléphone est presque morte.,French
بطارية هاتفي على وشك النفاد.,Arabic
Η μπαταρία του τηλεφώνου μου έχει σχεδόν εξαντληθεί.,Greek
Der Akku meines Telefons ist fast leer.,German
La batteria del mio telefono è quasi scarica.,Italian
A bateria do meu telefone está quase acabando.,Portuguese
Аккумулятор моего телефона почти разряжен.,Russian
我的手机电池快没电了。,Chinese
携帯電話のバッテリーがもうすぐ切れてしまいます。,Japanese
Baterai ponselku hampir habis.,Indonesian
मेरे फोन की बैटरी लगभग ख़त्म हो गई है।,Hindi
আমার ফোনের ব্যাটারি প্রায় শেষ।,Bengali
Could you pass me the salt please?,English
¿Podrías pasarme la sal por favor?,Spanish
Pourriez-vous me passer le sel s'il vous plaît ?,French
هل يمكنك أن تمرر لي الملح من فضلك؟,Arabic
Μπορείς να μου δώσεις το αλάτι σε παρακαλώ;,Greek
Könnten Sie mir bitte das Salz reichen?,German
"Potresti passarmi il sale, per favore?",Italian
"Você poderia me passar o sal, por favor?",Portuguese
"Не могли бы вы передать мне соль, пожалуйста?",Russian
请你把盐递给我好吗？,Chinese
塩を渡してくれませんか？,Japanese
Bisakah Anda memberikan saya garamnya?,Indonesian
क्या आप कृपया मुझे नमक देंगे?,Hindi
আপনি কি আমাকে লবণ দিতে পারেন?,Bengali
I think I'll go for a walk in the park later.,English
Creo que más tarde iré a dar un paseo por el parque.,Spanish
