English,Spanish,French,Arabic,Greek,German,Italian,Portuguese,Russian,Chinese,Japanese,Indonesian,Hindi,Bengali
company,compañía,entreprise,شركة,εταιρεία,Unternehmen,azienda,empresa,компания,公司,会社,perusahaan,कंपनी,কোম্পানি
travel,viajar,voyage,يسافر,ταξίδι,reisen,viaggio,viagem,путешествовать,旅行,旅行,bepergian,यात्रा,ভ্রমণ
product,producto,produit,منتج,προϊόν,Produkt,prodotto,produto,продукт,产品,製品,produk,उत्पाद,পণ্য
for,para,pour,ل,για,für,per,para,для,为了,のために,untuk,के लिए,জন্য
some,alguno,quelques,بعض,μερικοί,manche,Alcuni,alguns,некоторый,一些,いくつかの,beberapa,कुछ,কিছু
in,en,dans,في,σε,In,In,em,в,在,で,di dalam,में,মধ্যে
items,elementos,articles,أغراض,είδη,Artikel,elementi,Unid,предметы,项目,アイテム,item,सामान,আইটেম
information,información,information,معلومة,πληροφορίες,Information,informazioni,Informação,информация,信息,情報,informasi,जानकारी,তথ্য
store,almacenar,magasin,محل,κατάστημα,speichern,negozio,loja,магазин,店铺,店,toko,इकट्ठा करना,দোকান
should,debería,devrait,يجب,πρέπει,sollen,Dovrebbe,deve,должен,应该,すべき,sebaiknya,चाहिए,উচিত
a,a,un,أ,ένα,A,UN,um,а,一个,ある,A,ए,ক
services,servicios,services,خدمات,υπηρεσίες,Dienstleistungen,servizi,serviços,услуги,服务,サービス,layanan,सेवा,সেবা
book,libro,livre,كتاب,βιβλίο,Buch,libro,livro,книга,书,本,buku,किताब,বই
no,No,Non,لا,Όχι,NEIN,NO,não,нет,不,いいえ,TIDAK,नहीं,না
must,debe,doit,يجب,πρέπει,muss,dovere,deve,должен,必须,しなければならない,harus,अवश्य,আবশ্যক
them,a ellos,eux,هم,τους,ihnen,loro,eles,их,他们,彼ら,mereka,उन्हें,তাদের
s,s,s,ق,μικρό,S,S,é,с,s,s,S,एस,s
privacy,privacidad,confidentialité,خصوصية,μυστικότητα,Privatsphäre,privacy,privacidade,конфиденциальность,隐私,プライバシー,pribadi,गोपनीयता,গোপনীয়তা
do,hacer,faire,يفعل,κάνω,Tun,Fare,fazer,делать,做,する,Mengerjakan,करना,করতে
ebay,ebay,ebay,موقع ئي باي,ebay,eBay,ebay,ebay,ebay,易趣,イーベイ,ebay,EBAY,ইবে
make,hacer,faire,يصنع,μάρκα,machen,Fare,fazer,делать,制作,作る,membuat,बनाना,করা
that,eso,que,الذي - التي,ότι,Das,Quello,que,что,那,それ,itu,वह,যে
me,a mí,moi,أنا,μου,Mich,Me,meu,мне,我,自分,Saya,मुझे,আমি
very,muy,très,جداً,πολύ,sehr,molto,muito,очень,非常,とても,sangat,बहुत,খুব
other,otro,autre,آخر,άλλος,andere,altro,outro,другой,其他,他の,lainnya,अन्य,অন্যান্য
to,a,à,ل,να,Zu,A,para,к,到,に,ke,को,থেকে
center,centro,centre,مركز,κέντρο,Center,centro,centro,центр,中心,中心,tengah,केंद्र,কেন্দ্র
data,datos,données,بيانات,δεδομένα,Daten,dati,dados,данные,数据,データ,data,डेटा,তথ্য
and,y,et,و,και,Und,E,e,и,和,そして,Dan,और,এবং
were,eran,étaient,كان,ήταν,war,erano,eram,были,是,だった,adalah,थे,ছিল
order,orden,commande,طلب,παραγγελία,Befehl,ordine,ordem,заказ,命令,注文,memesan,आदेश,আদেশ
one,uno,un,واحد,ένας,eins,uno,um,один,一,1つ,satu,एक,এক
