text,language
I'm going to make a cup of tea.,en
Did you see the game last night? It was incredible!,en
The birds are singing so beautifully this morning.,en
Where did I put my keys?,en
I need to finish this report by Friday.,en
The smell of freshly baked bread is amazing.,en
Could you pass me the salt please?,en
My phone battery is almost dead.,en
I think I'll go for a walk in the park later.,en
What time is the movie starting?,en
I'm excited for the weekend!,en
The traffic was terrible this morning.,en
I should probably water the plants.,en
Have you seen my blue sweater?,en
This coffee is too hot.,en
What are your plans for the summer?,en
The sunset is breathtaking tonight.,en
I need to get some more groceries.,en
Don't forget to take out the trash.,en
I love listening to music while I work.,en
The library is a quiet place to study.,en
My favorite color is blue.,en
This book is really captivating.,en
I'm trying to learn a new language.,en
The dog needs to be walked.,en
I'm feeling a bit tired today.,en
Let's meet for lunch tomorrow.,en
Did you hear about the new restaurant downtown?,en
I'm going to bed early tonight.,en
The flowers in the garden are blooming.,en
I need to buy a new pair of shoes.,en
This cake is delicious!,en
Turn left at the next intersection.,en
I'm looking forward to my vacation.,en
The air smells fresh after the rain.,en
I think I left my umbrella at work.,en
What's your favorite kind of music?,en
This puzzle is really challenging.,en
I made a reservation for dinner tonight.,en
The leaves are changing color.,en
I'm going to visit my family next week.,en
Remember to lock the door when you leave.,en
I enjoy cooking new recipes.,en
The museum is open on Saturdays.,en
My back is aching.,en
I need to call the doctor tomorrow.,en
Let's go for a bike ride.,en
The train is delayed.,en
I saw a funny video online today.,en
This article is very informative.,en
I'm going to the gym after work.,en
What time is it?,en
I have a headache.,en
The coffee shop is crowded.,en
I'm looking for a new job.,en
Did you enjoy the concert?,en
I prefer tea over coffee.,en
The park is a great place to relax.,en
I'm going to paint my room a different color.,en
The laundry needs to be done.,en
I lost my wallet.,en
What's the weather like outside?,en
I'm happy to help.,en
The cat is sleeping on the windowsill.,en
I'm not feeling well today.,en
Can you help me with this?,en
The bus is late.,en
I'm going shopping later.,en
Did you finish your homework?,en
I'm excited about the new movie.,en
The restaurant was very expensive.,en
I need to buy a birthday present.,en
The dog is barking at the mailman.,en
I like to read before bed.,en
The airplane is taking off.,en
It's cold outside today.,en
I'm going to bake a cake.,en
The beach is beautiful.,en
I'm going to learn how to play the guitar.,en
Did you water the plants?,en
I have a meeting tomorrow morning.,en
I’m going to try a new recipe tonight.,en
The neighbor’s dog is barking again.,en
I saw a beautiful butterfly in the garden.,en
This song is stuck in my head.,en
Have you ever been to Italy?,en
I'm thinking of buying a new car.,en
The grocery store was out of my favorite cereal.,en
Did you see that shooting star?,en
I think I’ll take a nap.,en
I need to get my hair cut.,en
That's a really interesting painting.,en
I should probably clean my room.,en
The traffic is moving slowly.,en
Did you get the email I sent you?,en
I’m going to volunteer at the animal shelter this weekend.,en
The library has a great selection of books.,en
I love the smell of freshly cut grass.,en
I'm going to take a photography class.,en
The store is having a sale.,en
I think I locked myself out of the house.,en
Did you hear the thunder last night?,en
I need to water the plants on the balcony today.,en
Did you see the beautiful sunset last night?,en
My phone battery is almost dead I need to find a charger.,en
The coffee shop on the corner makes the best lattes.,en
I'm going for a walk in the park after lunch.,en
Can you pass me the salt please?,en
That movie was so funny I couldn't stop laughing.,en
I think I might try a new recipe for dinner tonight.,en
The train is running late again how frustrating.,en
Remember to take out the trash before you leave.,en
I'm feeling a bit tired today I think I need more sleep.,en
Have you finished reading that book I lent you?,en
The dog is barking at something in the backyard.,en
I'm excited for the weekend I have lots of plans.,en
The traffic is really bad this morning.,en
What are you doing for your birthday this year?,en
I'm going to try to learn a new language.,en
My favorite color is blue what about yours?,en
The leaves are starting to change color it's so pretty.,en
I need to go to the bank and deposit a check.,en
Let's meet at the cafe at 3 pm.,en
The air is so fresh after the rain.,en
I'm going to bake cookies for the bake sale.,en
That shirt looks really good on you.,en
I'm going to call my mom later today.,en
Did you hear about the new restaurant that opened?,en
I think I left my keys at home.,en
The bus stop is just around the corner.,en
I'm trying to eat healthier these days.,en
I love listening to music while I work.,en
The library is a great place to study.,en
I'm going to volunteer at the animal shelter this weekend.,en
Can you help me carry these groceries?,en
I'm looking forward to my vacation next month.,en
The sky is full of stars tonight.,en
I'm going to buy a new pair of shoes.,en
I'm not sure what I want to do for a career.,en
The museum has a fascinating exhibit on dinosaurs.,en
I'm going to take a yoga class this evening.,en
I need to fix the broken chair in the kitchen.,en
I'm going to watch a movie with my friends tonight.,en
That's a really interesting idea.,en
I'm not a fan of spicy food.,en
The concert was amazing the band was so good.,en
I'm going to try to get more exercise.,en
I need to clean my room it's a mess.,en
The smell of freshly baked bread is wonderful.,en
I'm going to paint my bedroom a different color.,en
I'm learning how to play the guitar.,en
I need to buy a new phone case mine is cracked.,en
I'm going to visit my grandparents this weekend.,en
The coffee is too hot I need to let it cool down.,en
I'm going to read a book before bed.,en
I'm going to try to save money for a new car.,en
I'm going to donate some clothes to charity.,en
I'm going to take a nap this afternoon.,en
I'm going to learn how to cook Italian food.,en
I need to buy a birthday present for my friend.,en
I'm going to go for a bike ride later.,en
I'm going to try to get a promotion at work.,en
I'm going to start a garden in my backyard.,en
I need to go to the dentist for a check-up.,en
I'm going to take a photography class.,en
I'm going to learn how to knit.,en
I need to buy a new printer mine is broken.,en
I'm going to travel to Europe next year.,en
I'm going to try to be more organized.,en
I need to find a new apartment.,en
I'm going to start a blog.,en
I'm going to learn how to speak Spanish.,en
I need to buy a new laptop.,en
I'm going to volunteer at a soup kitchen.,en
I'm going to try to quit smoking.,en
I need to get a haircut.,en
I'm going to learn how to play the piano.,en
I'm going to try to lose weight.,en
I need to buy a new winter coat.,en
I'm going to try to be more patient.,en
I need to find a new job.,en
I'm going to learn how to code.,en
I'm going to try to be more positive.,en
I need to buy a new car.,en
I'm going to try to be a better person.,en
What time does the store close?,en
The birds are singing beautifully this morning.,en
I think I'll have a salad for lunch.,en
Did you watch the game last night?,en
I should probably call the plumber about that leak.,en
This cake is absolutely delicious!,en
Where did you get those shoes? I love them!,en
I'm going to try to wake up earlier tomorrow.,en
I've been meaning to organize my closet for ages.,en
Don't forget to lock the door when you leave.,en
The coffee is brewing and the aroma is filling the kitchen.,en
I'm going to take the dog for a walk in the park.,en
Do you have any plans for the weekend?,en
The car needs to be washed it's covered in dust.,en
Could you please pass the salt? Thanks!,en
My favorite color is blue what's yours?,en
I'm feeling a bit under the weather today I think I'll stay home.,en
The children are playing in the backyard it's a beautiful day.,en
I need to book a dentist appointment soon I haven't been in a while.,en
What time does the train leave for London?,en
The flowers in the garden are starting to bloom they are so pretty.,en
I'm trying to learn how to bake a cake from a new recipe.,en
My phone battery is almost dead I need to plug it in.,en
Let's order some pizza for dinner tonight what do you think?,en
The sunset was absolutely stunning last night it was shades of orange and purple.,en
I'm looking forward to my vacation next month I'm going to the beach.,en
Please be careful when crossing the road it's very busy.,en
I'm feeling really happy today everything seems to be going well.,en
The supermarket is having a sale on fruit's and vegetables.,en
I think I'll go for a run later it's a nice day for it.,en
It's starting to get dark I should probably turn on the lights.,en
I'm hungry what should we have for lunch?,en
The library is a great place to find books and relax.,en
My favorite movie is The Shawshank Redemption have you seen it?,en
Could you please turn off the lights when you leave the room?,en
The cat is purring loudly on my lap.,en
I'm going to try a new restaurant downtown tonight.,en
I need to buy some new clothes for the upcoming wedding.,en
The weather forecast predicts rain for the rest of the week.,en
I'm learning a new language it's quite challenging but fun.,en
My computer is running very slow I need to restart it.,en
I'm excited to see the new Star Wars movie have you bought your tickets?,en
The birds are singing beautifully outside my window.,en
I need to find a gift for my mom's birthday.,en
The bus is late today I'm going to be late for work.,en
I'm trying to eat healthier I've cut out sugary drinks.,en
The children are playing video games in the living room.,en
I'm going to visit my grandparents this weekend.,en
The park is a great place to relax and enjoy the fresh air.,en
I'm feeling a little stressed I need to take a break.,en
I'm going to make some tea would you like a cup?,en
The internet is down again it's so frustrating.,en
I'm going to the gym after work to get some exercise.,en
I'm really enjoying this book the plot is very interesting.,en
The traffic is terrible this morning it's taking me ages to get to work.,en
